TRACK: Aerospace_Studies_Minor
URL: https://catalog.unc.edu/undergraduate/programs-study/aerospace-studies-minor/

NOTE: In addition to the program requirements listed below, students must:
NOTE: For more information, please consult the degree requirements section of the catalog .
### Core Requirements
RULE: Students may select courses for the minor from the following list: 14
  AERO 101 | Heritage and Values of the United States Air Force | hrs
  AERO 102 | Heritage and Values of the United States Air Force | hrs
  AERO 196 | Independent Study | hrs
  AERO 201 | Team and Air Force Leadership Fundamentals | hrs
  AERO 202 | Team and Air Force Leadership Fundamentals II | hrs
  AERO 301 | Leading People and Effective Communication I | hrs
  AERO 302 | Leading People and Effective Communication II | hrs
  AERO 393 | Air and Space Expeditionary Training | hrs
  AERO 401 | National Security Affairs and Preparation for Active Duty | hrs
  AERO 402 | National Security Affairs and Preparation for Active Duty | hrs
  AERO/HIST/PWAD 213 | Air Power and Modern Warfare | hrs
