TRACK: Environmental_Justice_Minor
URL: https://catalog.unc.edu/undergraduate/programs-study/environmental-justice-minor/

## Requirements
NOTE: In addition to the program requirements listed below, students must:
NOTE: For more information, please consult the degree requirements section of the catalog .
NOTE: A minimum of 4 courses (12 credit hours) is required to complete the minor.
### Core Requirements
  GEOG 240 | Introduction to Environmental Justice | 3hrs
  GEOG 435 | Global Environmental Justice | 3hrs
RULE: One elective course from List One (see below) 3
RULE: One elective course from either List One or List Two (see below) 3

## List One
  GEOG 125 | Cultural Landscapes | 3hrs
  GEOG 141 | Geography for Future Leaders | 3hrs
  GEOG 232 | Agriculture, Food, and Society | 3hrs
  GEOG 259 | Society and Environment in Latin America | 3hrs
  GEOG 262 | Geography of North Carolina | 3hrs
  GEOG 266 | Society and Environment in Southeast Asia | 3hrs
  GEOG 281 | Ethnographies of Globalization: From 'Culture' to Decolonization | 3hrs
  GEOG 294 | Beyond Sustainability | 3hrs
  GEOG 414 | Climate Change | 3hrs
  GEOG 436 | Governance, Institutions, and Global Environmental Change | 3hrs
  GEOG 437 | Social Vulnerability to Climate Change | 3hrs
  GEOG 446 | Geography of Health Care Delivery | 3hrs
  GEOG 451 | Population, Development, and the Environment | 3hrs
  GEOG 457 | Rural Latin America: Agriculture, Environment, and Natural Resources H | 3hrs
  GEOG 470 | Political Ecology: Geographical Perspectives | 3hrs
  GEOG 480 | Liberation Geographies | 3hrs
  GEOG 542 | Neighborhoods and Health | 3hrs
  ANTH 439 | Political Ecology | 3hrs
  ANTH 446 | Poverty, Inequality, and Health | 3hrs
  ANTH 539 | Environmental Justice | 3hrs
  ANTH 540 | Planetary Crises and Ecological and Cultural Transitions | 3hrs
  PHIL 273 | Justice, Rights, and the Common Good: Philosophical Perspectives on Social and Economic Issues H | 3hrs
  PHIL 274 | Race, Racism, and Social Justice: African-American Political Philosophy H | 3hrs
  PHIL/ENEC 368 | Living Things, Wilderness, and Ecosystems: An Introduction to Environmental Ethics H | 3hrs
  SOCI 122 | Race and Ethnicity | 3hrs
  SOCI 421 | Environmental Sociology | 3hrs

## List Two
  AAAD/POLI 333 | Race and Public Policy in the United States | 3hrs
  ANTH/ENEC 237 | Food, Environment, and Sustainability | 3hrs
  ANTH 306 | Water and Inequality: Anthropological Perspectives | 3hrs
  COMM 375 | Environmental Advocacy | 3hrs
  ENEC 325 | Water Resource Management for Food, Energy, and Health H | 3-4hrs
  ENEC 309 | Environmental Values and Valuation | 3hrs
  ENEC 350 | Environmental Law and Policy | 3hrs
  MEJO 560 | Environmental and Science Journalism H | 3hrs
  MEJO 562 | Environmental and Science Documentary Television | 3hrs
  HIST 235 | Native America in the 20th Century | 3hrs
  HIST 241 | History of Latinos in the United States | 3hrs
  HIST 273 | Water, Conflict, and Connection in the Middle East | 3hrs
  HIST 382 | The History of the Civil Rights Movement H | 3hrs
  PHIL 280 | Morality, Law, and Justice: Issues in Legal Philosophy H | 3hrs
  PHIL 364 | Ethics and Economics | 3hrs
  SOCI 411 | Social Movements | 3hrs
