TRACK: Exercise_and_Sport_Science_BS
URL: https://catalog.unc.edu/undergraduate/programs-study/exercise-sport-science-major-bs/

## Requirements
NOTE: In addition to the program requirements, students must
NOTE: For more information, please consult the degree requirements section of the catalog .
### Core Requirements
  EXSS 155 | Human Anatomy and Physiology I H, F | 3hrs
  EXSS 256 | Human Anatomy and Physiology II | 3hrs
  EXSS 273 | Research in Exercise and Sport Science | 3hrs
  EXSS 376 | Physiological Basis of Human Performance | 4hrs
  EXSS 380 | Neuromuscular Control and Learning H | 3hrs
  EXSS 385 | Biomechanics of Sport | 3hrs
RULE: Five elective courses from the following list, with at least 9 credits from courses numbered 400 and above: 13-15
  EXSS 181 | Sport and Exercise Psychology | hrs
  EXSS 265 | Fundamentals of Sports Medicine | hrs
  EXSS 275L | Human Anatomy Laboratory | hrs
  EXSS 288 | Emergency Care of Athletic Injuries and Illnesses | hrs
  EXSS 360 | Sports Nutrition | hrs
  EXSS 366 | Foundations of Sports Medicine Rehabilation | hrs
  EXSS 395 | Undergraduate Research Course | hrs
  EXSS 408 | Theory and Application of Strength Training and Conditioning for Fitness Professionals | hrs
  EXSS 409 | Exercise Prescription for Special Populations | hrs
  EXSS 410 | Exercise Testing and Prescription | hrs
  EXSS 433L | Exercise Technique | hrs
  EXSS 450 | Essentials of Corrective Exercise Training | hrs
  EXSS 475 | Functional Anatomy | hrs
  EXSS 478 | Sports Performance Training | hrs
  EXSS 573 | Sport Injury Epidemiology | hrs
  EXSS 576 | Exercise Endocrinology | hrs
  EXSS 580 | Neuromechanics of Human Movement | hrs
  EXSS 581 | Biopsychosocial Aspects of Sport Injury | hrs
  EXSS 694H | Senior Honors Thesis | hrs
### Additional Requirements
  BIOL 101 & 101L | Principles of Biology and Introductory Biology Laboratory H, F | 4hrs
RULE: Select three courses from the following options: 12
  CHEM 101 & 101L | General Descriptive Chemistry I and Quantitative Chemistry Laboratory I H, F | hrs
  CHEM 102 & 102L | General Descriptive Chemistry II and Quantitative Chemistry Laboratory II H, F | hrs
  PHYS 114 | General Physics I: For Students of the Life Sciences F | hrs
  OR or PHYS 118 | Introductory Calculus-based Mechanics and Relativity
  PHYS 115 | General Physics II: For Students of the Life Sciences F | hrs
  OR or PHYS 119 | Introductory Calculus-based Electromagnetism and Quanta
  MATH 231 | Calculus of Functions of One Variable I H, F | hrs
RULE: A choice of four additional allied sciences electives, selected from the course list below (some courses are more than 3 credits) 1 12

## Allied Science Electives
### Anthropology 1
  ANTH 143 | Human Evolution and Adaptation | 3hrs
  ANTH 148 | Human Origins | 3hrs
  ANTH 151 | Anthropological Perspectives on Food and Culture | 3hrs
  ANTH 217 | Human Biology in Comparative Perspective | 3hrs
  ANTH 298 | Biological Anthropology Theory and Practice | 3hrs
  ANTH 315 | Human Genetics and Evolution | 3hrs
  ANTH 318 | Human Growth and Development | 3hrs
  ANTH 412 | Paleoanthropology | 3hrs
  ANTH 413 | Laboratory Methods: Archaeobotany | 3hrs
  ANTH 414 | Laboratory Methods: Human Osteology | 3hrs
  ANTH 415 | Laboratory Methods: Zooarchaeology | 3hrs
  ANTH 416 | Bioarchaeology | 3hrs
  ANTH 423 | Written in Bone: CSI and the Science of Death Investigation from Skeletal Remains | 3hrs
  ANTH 437 | Evolutionary Medicine | 3hrs
  ANTH 470 | Medicine and Anthropology | 3hrs
  ANTH 471 | Biocultural Perspectives on Maternal and Child Health | 3hrs
### Biology 1
  BIOL | Any three credit-hour class above BIOL 101 Principles of Biology, except BIOL 271 , BIOL 272 , BIOL 273 | hrs
### Biochemistry 1
  BIOC 107 | Introduction to Biochemistry | 4hrs
  BIOC 108 | Introduction to Biochemistry | 4hrs
### Biomedical Engineering 1
  BMME 150 | Introduction to Materials Science | 3hrs
  BMME 207 | Biomedical Electronics | 4hrs
  BMME 301 | Human Physiology: Electrical Analysis | 4hrs
  BMME 315 | Biotransport | 3hrs
  BMME 335 | Biomaterials | 3hrs
  BMME 385 | Bioinstrumentation | 3hrs
  BMME 435 | Biological Physics | 3hrs
  BMME 505 | Skeletal Biomechanics | 3hrs
  BMME 521 | Introduction to Synthetic Biology | 3hrs
  BMME 543 | Biomechanics of Movement | 3hrs
  BMME 545 | Systems Neuroscience | 3hrs
  BMME 555 | Biofluid Mechanics | 3hrs
  BMME 572 | Analysis of Tissue Engineering Technologies | 3hrs
