TRACK: Global_Cinema_Minor
URL: https://catalog.unc.edu/undergraduate/programs-study/global-cinema-minor/

## Requirements
NOTE: In addition to the program requirements listed below, students must:
NOTE: For more information, please consult the degree requirements section of the catalog .
NOTE: The interdisciplinary minor consists of five courses:
### Core Requirements
  ARTH 159 | The Film Experience: Introduction to the Visual Study of Film | 3hrs
  OR or ENGL 142 | Film Analysis
  CMPL 143 | History of Global Cinema | 3hrs
RULE: Three electives from at least two different departments, chosen from the list below 9
NOTE: For additional information, contact the director of the global cinema minor.

## Electives
  AAAD 250 | The African American in Motion Pictures: 1900 to the Present | 3hrs
  AMST 268 | American Cinema and American Culture | 3hrs
  AMST 336 | Native Americans in Film | 3hrs
  AMST 371 | LGTBQ Film and Fiction from 1950 to the Present | 3hrs
  AMST 483 | Seeing the USA: The Film Director as Public Intellectual | 3hrs
  ARAB 453 | Film, Nation, and Identity in the Arab World | 3hrs
  ARTS 106 | Video I | 3hrs
  ARTS 206 | Video II | 3hrs
  ARTS 309 | 3D Animation | 3hrs
  ASIA 124 | Iranian Post-1979 Cinema | 3hrs
  ASIA 231 | Bollywood Cinema | 3hrs
  ASIA 235 | Israeli Cinema: Gender, Nation, and Ethnicity H | 3hrs
  ASIA 435 | The Cinemas of the Middle East and North Africa | 3hrs
  ASIA/CMPL 255 | The Feast in Film, Fiction, and Philosophy H | 3hrs
  ASIA/CMPL 379 | Cowboys, Samurai, and Rebels in Film and Fiction H | 3hrs
  CHIN 244 | Introduction to Modern Chinese Culture through Cinema | 3hrs
  CHIN 464 | The City in Modern Chinese Literature and Film | 3hrs
  CMPL 144 | Engaging Film and Media | 3hrs
  CMPL 150 | Critical Theory: Fear, Love, Laughter, and Loss - Film Genres and Spectatorship | 3hrs
  CMPL 180 | Race and Ethnicity in Hollywood Productions and Beyond | 3hrs
  CMPL 212 | The Cinematic City | 3hrs
  CMPL 227 | Global Authors: The Middle Ages in World Cinema | 3hrs
  CMPL 240 | Introduction to Film Theory | 3hrs
  CMPL 254 | Horror and the Global Gothic: Film, Literature, Theory | 3hrs
  CMPL 255 | The Feast in Film, Fiction, and Philosophy H | 3hrs
  CMPL 262 | Film and Politics | 3hrs
  CMPL 280 | Film Genres | 3hrs
  CMPL/GSLL 281 | Holocaust Cinema in Eastern Europe | 3hrs
  CMPL 282 | Russian Literature in World Cinema | 3hrs
  CMPL 375 | New Wave Cinema: Its Sources and Its Legacies | 3hrs
  CMPL 382 | Film and Nature | 3hrs
  CMPL 420 | Film, Photography, and the Digital Image | 3hrs
  CMPL 463 | Cinema and Surrealism | 3hrs
  CMPL 494 | The Essay Film: Adventures in Modern Cinema since 1945 | 3hrs
  CMPL 520 | Cinema, Painting, and The Frame | 3hrs
  COMM 230 | Audio/Video/Film Production and Writing | 3hrs
  COMM/WGST 345 | Gender and Film | 3hrs
  COMM 412 | Critical Theory | 3hrs
  COMM 431 | Advanced Audio Production | 3hrs
  COMM 534 | Aesthetic and Technical Considerations in Making Short Videos | 3hrs
  COMM 635 | Documentary Production | 3hrs
  COMM 647 | Advanced Projects in Media Production | 3hrs
  COMM 653 | Experimental Video | 3hrs
  COMM 654 | Motion Graphics, Special Effects, and Compositing | 3hrs
  COMM 681 | Contemporary Film Theory | 3hrs
  COMM 682 | History of the Moving Image: Pasts, Presents, Futures | 3hrs
  ENGL 143 | Film and Culture | 3hrs
  ENGL 244 | Queer Cinema | 3hrs
  ENGL 251 | Film Performance and Stardom | 3hrs
  ENGL 252 | National and Transnational Cinemas | 3hrs
  ENGL 253 | Space and Place in Literature/Film H | 3hrs
  ENGL 255 | Introduction to Media Studies | 3hrs
  ENGL 257 | Video Games and Narrative Cinema | 3hrs
  ENGL 260 | Film Sound and the Art of Listening | 3hrs
  ENGL 287 | Black Horror and the Moving Image | 3hrs
  ENGL 323 | American Cinema of the 1970s: New Hollywood and Beyond | 3hrs
  ENGL 324 | Creating the Video Essay | 3hrs
  ENGL 378 | Film Criticism | 3hrs
  ENGL 380 | Topics In Film History H | 3hrs
  ENGL 381 | Literature and Cinema | 3hrs
  ENGL 389 | Major Film Directors | 3hrs
  ENGL 399 | Cinema and the Museum | 3hrs
  ENGL 410 | Documentary Film H | 3hrs
  ENGL 494 | Research Methods in Film Studies | 3hrs
  ENGL 680 | Film Theory | 3hrs
  ENGL 681 | Topics in Contemporary Film and Media H | 3hrs
  FREN 386/CMPL 387 | French New Wave Cinema | 3hrs
  FREN/CMPL 388 | History of French Cinema I: 1895-1950 | 3hrs
  FREN/CMPL 389 | History of French Cinema II: 1950 to the Present | 3hrs
  GERM 265 | Hitler in Hollywood: Cinematic Representations of Nazi Germany | 3hrs
  GERM/CMPL 266 | Weimar Cinema | 3hrs
  GERM/CMPL/WGST 271 | Women, Gender and Sexuality in German Cinema | 3hrs
  GERM 272 | History of German Cinema | 3hrs
  GERM/PWAD 283 | Freedom, Terror, and Identity:  Modern Philosophy from Kant to Arendt | 3hrs
  GERM/CMPL 467 | Contemporary German and Austrian Cinema | 3hrs
  GSLL 283 | Hungarian Cinema since World War II | 3hrs
  HIST 302 | Movies Make History: Films as Primary Sources in Europe and America H | 3hrs
  ITAL 333 | Italian Film and Culture | 3hrs
  ITAL 335 | Themes in Italian Film | 3hrs
  ITAL 340 | Italian America | 3hrs
  PORT 388 | Portuguese, Brazilian, and African Identity in Film | 3hrs
  SPAN 361 | Hispanic Film | 3hrs
