TRACK: Korean_Minor
URL: https://catalog.unc.edu/undergraduate/programs-study/korean-minor/

## Requirements
NOTE: In addition to the program requirements listed below, students must:
NOTE: For more information, please consult the degree requirements section of the catalog .
NOTE: The undergraduate minor in Korean consists of four courses.
### Core Requirements
RULE: Three courses are language courses beyond KOR 203 (the first semester of Intermediate Korean), chosen from: 9-10
  KOR 204 | Intermediate Korean II | hrs
  KOR 305 | Advanced Korean I | hrs
  KOR 306 | Advanced Korean II | hrs
  KOR 407 | Modern Korean Literature and Culture | hrs
  KOR 408 | Changes and Continuities in Korean History | hrs
  KOR 409 | Korean Through Current Affairs | hrs
  KOR 490 | Topics in Korean Language and Literature | hrs
RULE: The fourth course must be chosen from among the following courses: 3
  ASIA 72 | First-Year Seminar: Transnational Korea: Literature, Film, and Popular Culture | hrs
  KOR 150 | History, Memory, and Reality in Contemporary Korea | hrs
  KOR 151 | Education and Social Changes in Contemporary Korea | hrs
  KOR 152 | Audiovisual Korea: Music, Art, and Performance from Calligraphy to K-pop | hrs
  KOR/CMPL 232 | Imagining the City in Modern Korea: Text, Image, Space | hrs
  KOR/CMPL/WGST 237 | Rebel, Lover, Martyr: Gender and Sexuality in North and South Korean Screen Cultures | hrs
  KOR 327 | Global Korea: Migration, Identity, and Community in the Korean Diaspora | hrs
  KOR 346/CMPL 246 | Body Politics in Modern Korean Literature H | hrs
  KOR 407 | Modern Korean Literature and Culture | hrs
  KOR 408 | Changes and Continuities in Korean History | hrs
  KOR 409 | Korean Through Current Affairs | hrs
  ASIA 427/CMPL 527/PWAD 427 | Cold War Culture in East Asia: Transnational and Intermedial Connections | hrs
  KOR 447/CMPL 547 | Documenting Diasporas: Korean Diasporas in Films and Documentaries | hrs
  KOR 490 | Topics in Korean Language and Literature | hrs
NOTE: Placement credit (PL) may not be used to meet minor requirements.
