TRACK: Media_and_Journalism_Minor
URL: https://catalog.unc.edu/undergraduate/programs-study/media-journalism-minor/

## Requirements
NOTE: In addition to the program requirements listed below, students must:
NOTE: For more information, please consult the degree requirements section of the catalog .
NOTE: Students must choose one of the following areas of study and complete at least 15 credit hours with C grades or better in MEJO courses taken at UNC–Chapel Hill. Students are required to meet any prerequisites for the courses they select.

## Advertising/Public Relations
### Core Requirement
  MEJO 137 | Principles of Advertising and Public Relations | 3hrs
RULE: Choose 4 additional MEJO courses chosen from the following list: 12
  MEJO 141 | Media Ethics | hrs
  MEJO 190 | Special Topics in Media and Journalism 2 | hrs
  MEJO 206 | Sports Communication | hrs
  MEJO 153 | Writing and Reporting | hrs
  MEJO 332 | Public Relations Writing | hrs
  MEJO 333 | Video for Advertising and Public Relations | hrs
  MEJO 334 | Visual Design for Strategic Communication | hrs
  MEJO 341 | Introduction to Media Law: Advertising, Public Relations, and Strategic Communication Focus | hrs
  MEJO 371 | Advertising Creative | hrs
  MEJO 372 | Advertising Media | hrs
  MEJO 373 | Account Planning | hrs
  MEJO 374 | Communications Consulting | hrs
  MEJO 379 | Advertising and Public Relations Research | hrs
  MEJO 390 | Special Skills in Mass Communication (with associate dean approval) 2 | hrs
  MEJO 432 | Cause Communications | hrs
  MEJO 433 | UX Strategy and Design | hrs
  MEJO 435 | Public Information Strategies | hrs
  MEJO 437 | Global Media H | hrs
  MEJO 438 | Advertising in the Age of Alexa | hrs
  MEJO 439 | Producing for Advertising | hrs
  MEJO 444 | Advertising, Media and Society | hrs
  MEJO 447 | Media in the United Kingdom H | hrs
  MEJO 466 | Sports Marketing and Strategic Communication | hrs
  MEJO 467 | Business Concepts for Communications | hrs
  MEJO 469 | How Healthcare Works: Programs, Stakeholders, and Strategy | hrs
  MEJO 471 | Advanced Advertising Copywriting | hrs
  MEJO 475 | Concepts of Marketing | hrs
  MEJO 476 | Ethical Issues and Sports Communication | hrs
  MEJO 477 | New Media Technologies: Their Impact on the Future of Advertising, Marketing, and Public Relations | hrs
  MEJO 479 | Market Intelligence H | hrs
  MEJO 490 | Special Topics in Mass Communication (with associate dean approval) 2, H | hrs
  MEJO 530 | Green Brand Lab | hrs
  MEJO 531 | Case Studies in Public Relations | hrs
  MEJO 532 | International Public Relations | hrs
  MEJO 533 | Crisis Communication | hrs
  MEJO 541 | Reporting & Writing About the Economy | hrs
  MEJO 542 | Reporting & Writing About Business | hrs
  MEJO 544 | Career Exploration and Preparation | hrs
  MEJO 550 | Business and the Media | hrs
  MEJO 553 | Advanced Reporting | hrs
  MEJO 569 | Behavioral Science in Health Communication | hrs
  MEJO 572 | Art Direction in Advertising | hrs
  MEJO 581 | User Experience Design and Usability | hrs
  MEJO 588 | Emerging Technologies | hrs
  MEJO 591 | Workroom FashionMash Experiential Design | hrs
  MEJO 592 | Workroom FashionMash Product Design | hrs
  MEJO 593 | Washington D.C. In-Residence Semester | hrs
  MEJO 594 | Workroom FashionMash Editorial | hrs

## Journalism
### Core Requirements
  MEJO 153 | Writing and Reporting 1 | 3hrs
  OR or MEJO 252 | Audio Journalism
  MEJO 141 | Media Ethics 1 | 3hrs
  OR or MEJO 340 | Introduction to Media Law: Journalism Focus
RULE: Choose 3 additional MEJO courses chosen from the following list: 9
  MEJO 129 | Sports Xtra | hrs
  MEJO 141 | Media Ethics 1 | hrs
  MEJO 144 | Introduction to Political Communication | hrs
  MEJO 153 | Writing and Reporting 1 | hrs
  MEJO 180 | Foundations of Photojournalism | hrs
  MEJO 182 | Foundations of Graphic Design | hrs
  MEJO 187 | Foundations of Interactive Media | hrs
  MEJO 190 | Special Topics in Media and Journalism 2 | hrs
  MEJO 252 | Audio Journalism 1 | hrs
  MEJO 253 | Introduction to Public Affairs Reporting | hrs
  MEJO 340 | Introduction to Media Law: Journalism Focus 1 | hrs
  MEJO 352 | Sports Production and Broadcasting | hrs
  MEJO 353 | Sports Production and Broadcasting Practicum | hrs
  MEJO 356 | Feature Writing | hrs
  MEJO 358 | Opinion Writing | hrs
  MEJO 390 | Special Skills in Mass Communication (with associate dean approval) 2 | hrs
  MEJO 421 | Television News Reporting and Producing | hrs
  MEJO 426 | Audio Journalism for Radio and Podcasts | hrs
  MEJO 455 | Creative Sportswriting | hrs
  MEJO 459 | Community Journalism | hrs
  MEJO 463 | News Lab: Creating Tomorrow's News Products | hrs
  MEJO 467 | Business Concepts for Communications | hrs
  MEJO 482 | Media Design | hrs
  MEJO 484 | Information Graphics | hrs
  MEJO 487 | Intermediate Interactive Media | hrs
  MEJO 488 | Multimedia Storytelling: Carolina Photojournalism Workshop | hrs
  MEJO 489 | Photojournalism, Lighting, and Business Techniques | hrs
  MEJO 490 | Special Topics in Mass Communication (with associate dean approval) 2, H | hrs
  MEJO 500 | Freelance Fundamentals | hrs
  MEJO 522 | Multiplatform Content and News Production | hrs
  MEJO 523 | Digital and Broadcast News Management H | hrs
  MEJO 541 | Reporting & Writing About the Economy | hrs
  MEJO 542 | Reporting & Writing About Business | hrs
  MEJO 550 | Business and the Media | hrs
  MEJO 553 | Advanced Reporting | hrs
  MEJO 557 | News Editing | hrs
  MEJO 560 | Environmental and Science Journalism H | hrs
  MEJO 562 | Environmental and Science Documentary Television | hrs
  MEJO 565 | Environmental Storytelling | hrs
  MEJO 570 | Data Driven Journalism | hrs
  MEJO 580 | Photo Stories | hrs
  MEJO 581 | User Experience Design and Usability | hrs
  MEJO 582 | Advanced Documentary Video Storytelling | hrs
  MEJO 583 | Advanced Interactive Media | hrs
  MEJO 584 | International Projects H | hrs
  MEJO 585 | 3D Design Studio | hrs
  MEJO 588 | Emerging Technologies | hrs
  MEJO 589 | Motion Graphics | hrs
NOTE: MEJO 190, MEJO 390 and  MEJO 490 may count as minor electives only when school-approved. See the Special Topics page to confirm whether the course is approved for the minor.
