TRACK: Medicine_Literature_and_Culture_Minor
URL: https://catalog.unc.edu/undergraduate/programs-study/medicine-literature-culture-minor/

## Requirements
NOTE: In addition to the program requirements listed below, students must:
NOTE: For more information, please consult the degree requirements section of the catalog .
### Core Requirements
RULE: Five courses representing at least three different subject codes: 15
  ENGL 268H | Medicine, Literature, and Culture | hrs
RULE: Four additional courses in at least two additional subject codes
NOTE: Options for additional courses include, but are not limited to, the following courses:
  AAAD 300 | Cultures of Health and Healing in Africa | 3hrs
  AAAD 387 | HIV/AIDS in Africa and the Diaspora | 3hrs
  ANTH 147 | Comparative Healing Systems | 3hrs
  ANTH 270 | Living Medicine | 3hrs
  ANTH 272/ENGL 264 | Healing in Ethnography and Literature | 3hrs
  ANTH 319 | Global Health | 3hrs
  ANTH 442/WGST 440 | Health and Gender after Socialism | 3hrs
  ANTH/WGST 443 | Cultures and Politics of Reproduction | 3hrs
  ANTH 444 | Medicine, Politics, and Justice | 3hrs
  ANTH 448 | Health and Medicine in the American South | 3hrs
  ANTH/FOLK 470 | Medicine and Anthropology | 3hrs
  ANTH/FOLK 473 | Anthropology of the Body and the Subject | 3hrs
  ANTH 474 | The Anthropology of Disability | 3hrs
  CMPL 383 | Literature and Medicine H | 3hrs
  ENGL 163 | Introduction to Health Humanities | 3hrs
  ENGL 264 | Healing in Ethnography and Literature | 3hrs
  ENGL 266 | Science and Literature H | 3hrs
  ENGL 269 | Introduction to Disability Studies | 3hrs
  ENGL 370 | Race, Health, and Narrative H | 3hrs
  ENGL 610 | Practicum in Health Humanities | 3hrs
  ENGL 611 | Narrative, Literature, and Medicine: Advanced Interdisciplinary Seminar | 3hrs
  GEOG 222 | Health and Medical Geography | 3hrs
  GLBL 483 | Comparative Health Systems H | 3hrs
  HIST 329 | An Introduction to the History of Medicine H | 3hrs
  HNRS 337 | Narrative and Medicine | 3hrs
  HNRS 362 | NHS Scotland - Policies, Problems, and Innovative Solutions | 3hrs
  HNRS 650 | Topics in Medicine and the Humanities | 1-6hrs
  MEJO 560 | Environmental and Science Journalism H | 3hrs
  PHIL 165 | Bioethics H | 3hrs
  PLCY 361 | Health Policy in the United States | 3hrs
  PLCY/HPM 565 | Global Health Law & Policy | 3hrs
  PLCY 570/HPM 571 | Global Health and Human Rights | 3hrs
  RELI 220 | Religion and Medicine H | 3hrs
  RELI 665/WGST 664 | Body and Suffering in Christian Mysticism | 3hrs
  SOCI 180 | Introduction to Global Population Health | 3hrs
  SOCI 422 | Sociology of Mental Health and Illness | 3hrs
  SOCI 431 | Aging | 3hrs
  SOCI 469 | Health and Society | 3hrs
  WGST 330 | Women's Health Activism in Twentieth Century America | 3hrs
NOTE: Additional courses can be applied to the requirements for this minor with the approval of the advisor for the minor.
NOTE: At least three courses used to fulfill requirements for the minor must be counted exclusively in the minor and cannot be double-counted with a major or second minor. All courses must be taken for a standard letter grade, with the exception of one course (three to four credit hours) of By-Examination (BE) credit.
