TRACK: Middle_Eastern_Languages_Minor
URL: https://catalog.unc.edu/undergraduate/programs-study/middle-eastern-languages-minor/

## Requirements
NOTE: In addition to the program requirements listed below, students must:
NOTE: For more information, please consult the degree requirements section of the catalog .
### Core Requirements
RULE: The minor consists of five courses taken in any two of the Middle Eastern languages listed below.
RULE: Three courses above 203 in one Middle Eastern language. 9-10
RULE: Two courses at any level in a second Middle Eastern language. 6-8
NOTE: All courses must be selected from the list below:
### Arabic
  ARAB 101 | Elementary Arabic I | 4hrs
  ARAB 102 | Elementary Arabic II | 4hrs
  ARAB 203 | Intermediate Arabic I | 4hrs
  ARAB 204 | Intermediate Arabic II | 4hrs
  ARAB 300 | Arabic Grammar and Composition | 3hrs
  ARAB 305 | Advanced Arabic I | 3hrs
  ARAB 306 | Advanced Arabic II | 3hrs
  ARAB 407 | Readings in Arabic I | 3hrs
  ARAB 408 | Readings in Arabic II | 3hrs
  ARAB 409 | Performing Arts in the Arab World | 3hrs
  ARAB 410 | Visual Arts in the Arab World | 3hrs
### Modern Hebrew
  HEBR 101 | Elementary Modern Hebrew I | 3hrs
  HEBR 102 | Elementary Modern Hebrew II | 3hrs
  HEBR 203 | Intermediate Modern Hebrew I | 3hrs
  HEBR 204 | Intermediate Modern Hebrew II | 3hrs
  HEBR 305 | Advanced Composition and Conversation: Immigration, Ethnicities, and Religious Traditions | 3hrs
  HEBR 306 | Advanced Composition and Conversation: Zionism and the Hebrew Language | 3hrs
### Hindi-Urdu
  HNUR 101 | Elementary Hindi-Urdu I | 4hrs
  HNUR 102 | Elementary Hindi-Urdu II | 4hrs
  HNUR 203 | Intermediate Hindi-Urdu I | 4hrs
  HNUR 204 | Intermediate Hindi-Urdu II | 4hrs
  HNUR 305 | Advanced Hindi-Urdu I | 3hrs
  HNUR 306 | Advanced Hindi-Urdu II | 3hrs
  HNUR 407 | South Asian Society and Culture | 3hrs
  HNUR 408 | South Asian Media and Film | 3hrs
  HNUR 409 | Sex and Social Justice in South Asia | 3hrs
  HNUR 410 | Seminar on the Urdu-Hindi Ghazal | 3hrs
  HNUR 411 | Health and Medicine in South Asia | 3hrs
  HNUR 490 | Topics in Hindi-Urdu Literature and Language | 3hrs
### Persian
  PRSN 101 | Elementary Persian I | 3hrs
  PRSN 102 | Elementary Persian II | 3hrs
  PRSN 203 | Intermediate Persian I | 3hrs
  PRSN 204 | Intermediate Persian II | 3hrs
  PRSN 305 | Persian Short Stories | 3hrs
  PRSN 306 | Persian Language through Literature and Film | 3hrs
### Turkish
  TURK 101 | Elementary Turkish I | 3hrs
  TURK 102 | Elementary Turkish II | 3hrs
  TURK 203 | Intermediate Turkish I | 3hrs
  TURK 204 | Intermediate Turkish II | 3hrs
  TURK 305 | Advanced Turkish I | 3hrs
  TURK 306 | Advanced Turkish II | 3hrs
NOTE: Note that ARAB 308 , HNUR 220 , HNUR 221 , and HNUR 308 do not count toward this minor. Placement credit (PL) may not be used to meet minor requirements.
