TRACK: Peace_War_and_Defense_BA
URL: https://catalog.unc.edu/undergraduate/programs-study/peace-war-defense-major-ba/

## Requirements
NOTE: In addition to the program requirements, students must
NOTE: For more information, please consult the degree requirements section of the catalog .
### Core Requirements
  PWAD 250 | Introduction to Peace and Security Studies | 3hrs
  PWAD/HIST 266 | Global History of Warfare | 3hrs
  PWAD/PHIL/POLI 272 | The Ethics of Peace, War, and Defense | 3hrs
RULE: Four courses from one concentration (see course lists below) 1 12
RULE: Two additional courses from any concentration or the list of PWAD major electives (see course lists below) 6
### Additional Requirements
RULE: Select one of the following options: 3
RULE: Through level 5 of a single modern foreign language.
RULE: One course in statistics and data analysis: POLI 281 , STOR 120 , or STOR 155 2
NOTE: PWAD 89 , PWAD 290 , PWAD 396 , PWAD 490 , PWAD 680 , and PWAD 690 may be applied toward the concentration requirement with the permission of the chair. Students can request that relevant courses not on this list, but offered as first-year seminars, honors seminars, or topics courses in other departments, be used to fulfill major requirements. This requires the approval of the chair.
NOTE: With the permission of the chair, students may substitute an alternative statistics-heavy methodology course. STOR 151 cannot be used to fulfill this requirement.

## The Culture of Peace and War
  ANTH/PWAD 280 | Anthropology of War and Peace | 3hrs
  ASIA/PWAD 69 | First-Year Seminar: Wars and Veterans: Iran, Iraq, and Afghanistan | 3hrs
  ASIA/PWAD 331/HIST 335 | Cracking India: Partition and Its Legacy in South Asia H | 3hrs
  ASIA/JWST/PWAD 425 | Beyond Hostilities: Israeli-Palestinian Exchanges and Partnerships in Film, Literature, and Music | 3hrs
  ASIA/PWAD 427/CMPL 527 | Cold War Culture in East Asia: Transnational and Intermedial Connections | 3hrs
  ASIA/PWAD 435/CMPL 535 | The Cinemas of the Middle East and North Africa | 3hrs
  ASIA/JWST/PWAD 462 | The Arab-Jews: Culture, Community, and Coexistence | 3hrs
  CLAR/PWAD 115 | Life in the Roman Army | 3hrs
  CMPL/PWAD 489 | Empire and Diplomacy H | 3hrs
  COMM 574 | War and Culture | 3hrs
  COMM/PWAD 355 | Terrorism and Political Violence | 3hrs
  COMM/PWAD 575 | Presidential Rhetoric | 3hrs
  ENGL/PWAD 161 | Literature of War from World War I to the 21st Century | 3hrs
  GERM 281 | The German Idea of War: Philosophical Dialogues with the Literary and Visual Arts in WWI | 3hrs
  GERM/PWAD 283 | Freedom, Terror, and Identity:  Modern Philosophy from Kant to Arendt | 3hrs
  GLBL 450 | Social Change in Times of Crisis: Knowledge, Action, and Ontology H | 3hrs
  GLBL 481 | NGO Politics H | 3hrs
  GSLL 85 | First-Year Seminar: Children and War | 3hrs
  HIST/ASIA/PWAD 134 | Modern East Asia | 3hrs
  HIST/PWAD 248 | Guerrillas and Counterinsurgencies in Latin America | 3hrs
  HIST/PWAD 254 | War and Society in Early Modern Europe | 3hrs
  HIST/JWST/PWAD 262 | History of the Holocaust: The Destruction of the European Jews | 3hrs
  HIST/PWAD 273 | Water, Conflict, and Connection in the Middle East | 3hrs
  HIST/ASIA 276 | The Modern Middle East | 3hrs
  HIST/ASIA/PWAD 277 | The Conflict over Israel/Palestine | 3hrs
  HIST/PWAD 281 | The Pacific War, 1937-1945: Its Causes and Legacy | 3hrs
  HIST/PWAD 421 | Alexander | 3hrs
  HIST/PWAD 422 | Ancient Greek Warfare H | 3hrs
  HIST/PWAD 432 | The Crusades | 3hrs
  HIST/PWAD 565 | Civil War and Reconstruction, 1848-1900 | 3hrs
  HIST/PWAD 570 | The Vietnam War | 3hrs
  LAW 252 | International Law (permission of the PWAD chair and instructor) | 3hrs
  MUSC/PWAD 289 | Sounds of War and Revolution | 3hrs
  PLCY/PWAD 450 | Internal and Interpersonal Conflict Management | 3hrs
  POLI/PWAD/SOCI 260 | Crisis and Change in Russia and Eastern Europe | 3hrs
  POLI/PWAD 416 | Constitutional Policies and the Judicial Process | 3hrs
  POLI/PWAD 458 | International Conflict Management and Resolution H | 3hrs
  POLI/PWAD 469 | Conflict and Intervention in the Former Yugoslavia H | 3hrs
  PWAD 364 | Post-Conflict and Peacebuilding | 3hrs
  PWAD 483 | Conflict, Development, and U.S. Foreign Policy | 3hrs
  PWAD 675 | War, Crimes against Humanity, and Justice | 3hrs
  RELI/PWAD 481 | Religion, Fundamentalism, and Nationalism | 3hrs
  RELI/ASIA 583 | Religion and Culture in Iran, 1500-Present | 3hrs
  SOCI/PWAD 411 | People, Power, and Politics | 3hrs
  SOCI 420 | Political Sociology | 3hrs

## International Security and Intelligence
  AAAD 312 | Terrorism in Africa | 3hrs
  ANTH/PWAD 280 | Anthropology of War and Peace | 3hrs
  ASIA/PWAD 331/HIST 335 | Cracking India: Partition and Its Legacy in South Asia H | 3hrs
  CMPL/PWAD 489 | Empire and Diplomacy H | 3hrs
  COMM/PWAD 575 | Presidential Rhetoric | 3hrs
  ECON/PWAD 460 | International Economics | 3hrs
  GEOG/PWAD 120 | World Regional Geography | 3hrs
  GEOG 453 | Political Geography | 3hrs
  GSLL 84 | First-Year Seminar: Terror for the People: Terrorism in Russian Literature and History | 3hrs
  HIST/ASIA/PWAD 134 | Modern East Asia | 3hrs
  HIST/PWAD 206 | War, Diplomacy, and Statecraft, 1815-1945 | 3hrs
  HIST/AERO/PWAD 213 | Air Power and Modern Warfare | 3hrs
  HIST/PWAD 248 | Guerrillas and Counterinsurgencies in Latin America | 3hrs
  HIST/JWST/PWAD 262 | History of the Holocaust: The Destruction of the European Jews | 3hrs
  HIST/ASIA 276 | The Modern Middle East | 3hrs
  HIST/ASIA/PWAD 277 | The Conflict over Israel/Palestine | 3hrs
  HIST/PWAD 370 | The Iraq War: Causes, Course, and Consequences | 3hrs
  HIST/PWAD 577 | United States Foreign Relations in the 20th Century | 3hrs
  HIST/PWAD 578 | Transatlantic Relations and Contemporary Geo-Politics from the Cold War to the Present | 3hrs
  LAW 252 | International Law (permission of the PWAD chair and instructor) | 3hrs
  PLCY/PWAD 101 | Making Public Policy H | 3hrs
  PLCY/PWAD 110 | Global Policy Issues H | 3hrs
  PLCY 210 | Policy Innovation and Analysis H | 3hrs
  PLCY/PWAD 220 | The Politics of Public Policy H | 3hrs
  PLCY/PWAD 430 | Analysis of National Security Policy | 3hrs
  POLI/PWAD 150 | International Relations and Global Politics H, F | 3hrs
  POLI/PWAD 252 | International Organizations and Global Issues H | 3hrs
  POLI/PWAD 253 | Problems in World Order | 3hrs
  POLI/PWAD/SOCI 260 | Crisis and Change in Russia and Eastern Europe | 3hrs
  POLI/PWAD 287 | Strategy and International Relations | 3hrs
  POLI/PWAD 444 | Terrorism and International Peace | 3hrs
  POLI/PWAD 452 | Africa and International Conflict | 3hrs
  POLI/PWAD 457 | International Conflict Processes | 3hrs
  POLI/PWAD 458 | International Conflict Management and Resolution H | 3hrs
  POLI/PWAD 459 | Trans-Atlantic Security H | 3hrs
  POLI/PWAD 469 | Conflict and Intervention in the Former Yugoslavia H | 3hrs
  POLI 487 | Networks in International Relations | 3hrs
  POLI 631 | European Security: The Enlarging European Union and the Trans-Atlantic Relationship | 3hrs
  PWAD 352 | The History of Intelligence Operations | 3hrs
  PWAD 359 | Comparative History of National Intelligence Regimes H | 3hrs
  PWAD 360 | The History of Warning Intelligence | 3hrs
  PWAD 361 | The History of Deception | 3hrs
