TRACK: Political_Science_BA
URL: https://catalog.unc.edu/undergraduate/programs-study/political-science-major-ba/

## Requirements
NOTE: In addition to the program requirements, students must
NOTE: For more information, please consult the degree requirements section of the catalog .
### Core Requirements
RULE: Nine courses, including the following courses and including at least one 400-level political science (POLI) course:
  POLI 100 | American Democracy in Changing Times H, F | 3hrs
  POLI 150 | International Relations and Global Politics H, F | 3hrs
RULE: One course in comparative politics chosen from: 3
  POLI 130 | Introduction to Comparative Politics H, F | hrs
  POLI 232 | Politics of the United Kingdom H | hrs
  POLI 233 | Comparative Politics of the Middle East H | hrs
  POLI 234 | Comparative Politics of the Global South | hrs
  POLI 235 | The Politics of Russia and Eurasia H | hrs
  POLI 236 | Politics of East-Central Europe H | hrs
  POLI 237 | The Politics of China | hrs
  POLI 238 | Politics of the Global South: Latin America H | hrs
  POLI 239 | Introduction to European Government H | hrs
  POLI 241 | Comparative Political Behavior H | hrs
RULE: One course in political theory chosen from: 3
  POLI 265 | Feminism and Political Theory | hrs
  POLI 270 | Classical Political Thought H | hrs
  POLI 271 | Modern Political Thought H | hrs
  POLI 272 | The Ethics of Peace, War, and Defense | hrs
  POLI 275 | Nationalism, Immigration and the Politics of Identity H | hrs
  POLI 276 | Major Issues in Political Theory H | hrs
  POLI 280 | American Political Thought After the Civil War H | hrs
  POLI 470 | Social and Political Philosophy H | hrs
  POLI 471 | Contemporary Political Thought H | hrs
  POLI 472 | Problems of Modern Democratic Theory H | hrs
  POLI 475 | Environmental Political Theory | hrs
  POLI 476 | The Political Theory of the American Founding | hrs
  POLI 478 | The Politics, Philosophy, and Economics of Education | hrs
RULE: One course in research methods chosen from: 3
  POLI 209 | Analyzing Public Opinion H | hrs
  POLI 281 | Data in Politics I: An Introduction | hrs
  POLI 285 | Applied Experimental Research: Politics in the US and Europe | hrs
  POLI 287 | Strategy and International Relations | hrs
  POLI 288 | Strategy and Politics | hrs
  POLI 381 | Data in Politics II: Frontiers and Applications | hrs
  POLI 417 | Advanced Political Psychology H | hrs
  POLI 487 | Networks in International Relations | hrs
  POLI 488 | Game Theory | hrs
  POLI 691H | Honors Seminar in Research Design | hrs
RULE: Four political science (POLI) electives at the 100 level or above 1,2 12
NOTE: First-year seminars, POLI 193 , and POLI 291 may not count as electives for the political science major.
NOTE: Whenever possible, students should take an introductory course in a subfield (American politics, comparative politics, international relations, political theory) before taking more advanced courses in the subfield.

## Data in Politics
NOTE: The Data in Politics track provides political science majors an opportunity to develop valuable data analysis skills and engage in cutting-edge political science research. As part of this track, students can take a two-course core sequence and additional applied data analysis courses. The Data in Politics core sequence teaches students how to work with and analyze social science data. Applied data analysis courses build on this foundation by providing students opportunities to actively use data skills as part of a research paper or other class project.
### Data in Politics Core Sequence
  POLI 281 | Data in Politics I: An Introduction | 3hrs
  POLI 381 | Data in Politics II: Frontiers and Applications | 3hrs
### Applied Data Analysis Courses
  POLI 209 | Analyzing Public Opinion H | 3hrs
  POLI 350 | Peace Science Research | 3hrs
  POLI 395 | Mentored Research in Political Science | 1-3hrs
  POLI 416 | Constitutional Policies and the Judicial Process | 3hrs
  POLI 417 | Advanced Political Psychology H | 3hrs
  POLI 429 | Diversity and Politics | 3hrs
  POLI 447 | Immigrant Integration in Contemporary Western Europe H | 3hrs
  POLI 453 | When Countries Go Broke: Political Responses to Financial Crises | 3hrs
  POLI 692H | Honors Thesis Research | 3hrs
  POLI 693H | Honors Thesis Research | 3hrs

## American Politics
NOTE: American politics courses examine political behavior and institutions in the United States at the federal, state, and local levels. These courses explore topics such as campaigns and elections, public opinion, Congress, the presidency, the judicial system, and state politics.
### Introductory Course
  POLI 100 | American Democracy in Changing Times H, F | 3hrs
### Specialized Courses
  POLI 200 | The President, Congress, and Public Policy | 3hrs
  POLI 201 | Politics of Bureaucracy H | 3hrs
  POLI 202 | The United States Supreme Court | 3hrs
  POLI 203 | Race, Innocence, and the Decline of the Death Penalty | 4hrs
  POLI 204 | Introduction to Southern Politics | 3hrs
  POLI 205 | Politics in the U.S. States H | 3hrs
  POLI 206 | Race and the Right to Vote in the United States | 3hrs
  POLI 207 | The Politics of Organized Interests | 3hrs
  POLI 208 | Political Parties and Elections H | 3hrs
  POLI 209 | Analyzing Public Opinion H | 3hrs
  POLI 211 | Religion and Politics | 3hrs
  POLI 215 | Political Psychology: An Introduction | 3hrs
  POLI 217 | Women and Politics | 3hrs
  POLI 220 | Race, Ethnicity, and Electoral Representation in the United States | 3hrs
  POLI 240 | African American Politics | 3hrs
  POLI 248 | Intersectionality: Race, Gender, Sexuality, and Social Justice | 3hrs
  POLI 333 | Race and Public Policy in the United States | 3hrs
