TRACK: Religious_Studies_Minor
URL: https://catalog.unc.edu/undergraduate/programs-study/religious-studies-minor/

## Requirements
NOTE: In addition to the program requirements listed below, students must:
NOTE: For more information, please consult the degree requirements section of the catalog .
### Core Requirements
RULE: Minimum requirements for the minor consist of five courses, two of which must be numbered above 400 15
### Additional Requirements
RULE: At least one course in two of the department's subfields (see lists below).
NOTE: Introductory and intermediate language courses ( RELI 401 , RELI 402 , RELI 403 , RELI 404 , RELI 409 , RELI 410 ) are recommended for their usefulness but do not count towards the minor in religious studies.

## Ancient Mediterranean Religions
  RELI 63 | First-Year Seminar: The Archaeology of Qumran and the Dead Sea Scrolls | 3hrs
  RELI 65 | First-Year Seminar: Myth, Philosophy, and Science in the Ancient World | 3hrs
  RELI 70 | First-Year Seminar: Jesus in Scholarship and Film | 3hrs
  RELI 78 | First-Year Seminar: Reading the Bible: Now and Then | 3hrs
  RELI 80 | First-Year Seminar: Religion and Writing in the Ancient World | 3hrs
  RELI 104 | Introduction to the New Testament H | 3hrs
  RELI 105 | Religions of the Greco-Roman World | 3hrs
  RELI 109 | History and Culture of Ancient Israel H | 3hrs
  RELI 114 | Early Christian Worship, Ritual, and Bodies | 3hrs
  RELI 117 | Culture of the Ancient Near East | 3hrs
  RELI 201 | Ancient Biblical Interpretation H | 3hrs
  RELI 205 | Sacrifice in the Ancient World H | 3hrs
  RELI 207 | Jesus in the Early Christian Gospels | 3hrs
  RELI 208 | The Birth of Christianity | 3hrs
  RELI 209 | Varieties of Early Christianity H | 3hrs
  RELI 211 | Classical Hebrew I:  A Linguistic Introduction to the Hebrew Bible | 3hrs
  RELI 212 | Classical Hebrew II: A Linguistic Introduction to the Hebrew Bible | 3hrs
  RELI 215 | Eastern Christian Cultures: Middle East, Asia, Africa, and Eastern Europe | 3hrs
  RELI 217 | Gnosticism H | 3hrs
  RELI 314 | Memory and the Historical Jesus H | 3hrs
  RELI 315 | Religious Frauds: Lies, Forgeries, and Fake News H | 3hrs
  RELI 390 | Topics in the Study of Religion (based on topic) | 3hrs
  RELI 411 | Advanced Akkadian | 3hrs
  RELI 412 | Ugaritic | 3hrs
  RELI 413 | Biblical Coptic and Early Egyptian Monasticism | 3hrs
  RELI 414 | Syriac | 3hrs
  RELI 501 | The History of the Bible in Modern Study | 3hrs
  RELI 504 | Readings in Hebrew Bible | 3hrs
  RELI 590 | Topics in the Study of Religion (based on topic) | 3hrs
  RELI 602 | What Is Scripture? Formations of the Hebrew Bible/Old Testament Canon | 3hrs
  RELI 603 | The Bible and Its Translation | 3hrs
  RELI 607 | Problems in Early Christian Literature and History H | 3hrs
  RELI 608 | The Messiah and the Apocalypse | 3hrs
  RELI 609 | Christianity and Greco-Roman Culture | 3hrs
  RELI 610 | Readings in the Apostolic Fathers | 3hrs
  RELI 614 | The Cult of Saints: Narratives, Materialities, Practices | 3hrs
  RELI 617 | Death and Afterlife in the Ancient World H | 3hrs
  RELI/CLAR 375 | Archaeology of Cult | 3hrs
  RELI/CLAR/JWST 110 | The Archaeology of Palestine in the New Testament Period | 3hrs
  RELI/CLAR/JWST 512 | Ancient Synagogues | 3hrs
  RELI/FOLK 502 | Myths and Epics of the Ancient Near East H | 3hrs
  RELI/JWST 103 | Introduction to the Hebrew Bible/Old Testament Literature H | 3hrs
  RELI/JWST 106 | Judaism in the Time of Jesus | 3hrs
  RELI/JWST 206 | Prophecy and Divination in Ancient Israel and Judah H | 3hrs
  RELI/JWST 503 | Exploring the Dead Sea Scrolls H | 3hrs

## Asian Religions-Islamic Studies
  ANTH/ASIA/RELI 574 | Chinese World Views | 3hrs
  ARAB/ASIA/RELI 681 | Readings in Islamicate Literatures | 3hrs
  ASIA/COMM/RELI 386 | Dance and Embodied Knowledge in the Indian Context | 3hrs
  ASIA/COMM/RELI 387 | Disciplining the Body and Mind: The Martial Arts of East Asia in Religion, History, and Culture | 3hrs
  ASIA/RELI 180 | Introduction to Islamic Civilization | 3hrs
  ASIA/RELI 181 | Modern Muslim Societies | 3hrs
  ASIA/RELI 183 | Asian Religions | 3hrs
  ASIA/RELI 280 | Hindu Gods and Goddesses H | 3hrs
  ASIA/RELI 284 | The Buddhist Tradition: East Asia | 3hrs
  ASIA/RELI 285 | Monks, Magic, & Meditation: Theravada Buddhism Across Space and Time | 3hrs
  ASIA/RELI 382 | The Story of Rama in Indian Culture–Experiential | 3hrs
  ASIA/RELI 383 | The Mahabharata: Remembered and Reimagined–Experiential | 3hrs
  ASIA/RELI 384 | Religion and Globalization in Southeast Asia | 3hrs
  ASIA/RELI 445 | Asian Religions in America | 3hrs
  ASIA/RELI 486 | Islam and Feminism/Islamic Feminism | 3hrs
  ASIA/RELI/WGST 482 | Sex, Gender, and Religion in South Asia | 3hrs
